Month,Sales
01-01-2015 00:00,266
02-01-2015 00:00,145.9
03-01-2015 00:00,183.1
04-01-2015 00:00,119.3
05-01-2015 00:00,180.3
06-01-2015 00:00,168.5
07-01-2015 00:00,231.8
08-01-2015 00:00,224.5
09-01-2015 00:00,192.8
10-01-2015 00:00,122.9
11-01-2015 00:00,336.5
12-01-2015 00:00,185.9
01-01-2016 00:00,194.3
02-01-2016 00:00,149.5
03-01-2016 00:00,210.1
04-01-2016 00:00,273.3
05-01-2016 00:00,191.4
06-01-2016 00:00,287
07-01-2016 00:00,226
08-01-2016 00:00,303.6
09-01-2016 00:00,289.9
10-01-2016 00:00,421.6
11-01-2016 00:00,264.5
12-01-2016 00:00,342.3
01-01-2017 00:00,266
02-01-2017 00:00,145.9
03-01-2017 00:00,183.1
04-01-2017 00:00,119.3
05-01-2017 00:00,180.3
06-01-2017 00:00,168.5
07-01-2017 00:00,231.8
08-01-2017 00:00,224.5
09-01-2017 00:00,192.8
10-01-2017 00:00,122.9
11-01-2017 00:00,336.5
12-01-2017 00:00,185.9
01-01-2018 00:00,194.3
02-01-2018 00:00,149.5
03-01-2018 00:00,210.1
04-01-2018 00:00,273.3
05-01-2018 00:00,191.4
06-01-2018 00:00,287
07-01-2018 00:00,226
08-01-2018 00:00,303.6
09-01-2018 00:00,289.9
10-01-2018 00:00,421.6
11-01-2018 00:00,264.5
12-01-2018 00:00,342.3
01-01-2019 00:00,339.7
02-01-2019 00:00,440.4
03-01-2019 00:00,315.9
04-01-2019 00:00,439.3
05-01-2019 00:00,401.3
06-01-2019 00:00,437.4
07-01-2019 00:00,575.5
08-01-2019 00:00,407.6
09-01-2019 00:00,682
10-01-2019 00:00,475.3
11-01-2019 00:00,581.3
12-01-2019 00:00,646.9
01-01-2020 00:00,602.7626812
02-01-2020 00:00,621.330029
03-01-2020 00:00,639.8973768
04-01-2020 00:00,658.4647246
05-01-2020 00:00,677.0320725
06-01-2020 00:00,695.5994203
07-01-2020 00:00,714.1667681
08-01-2020 00:00,732.7341159
09-01-2020 00:00,751.3014638
10-01-2020 00:00,769.8688116
11-01-2020 00:00,788.4361594
12-01-2020 00:00,807.0035072
01-01-2021 00:00,825.5708551
02-01-2021 00:00,844.1382029
03-01-2021 00:00,862.7055507
04-01-2021 00:00,881.2728986
05-01-2021 00:00,899.8402464
06-01-2021 00:00,918.4075942
07-01-2021 00:00,936.974942
08-01-2021 00:00,955.5422899
09-01-2021 00:00,974.1096377
10-01-2021 00:00,992.6769855
11-01-2021 00:00,1011.244333
12-01-2021 00:00,1029.811681
01-01-2022 00:00,602.7626812
02-01-2022 00:00,621.330029
03-01-2022 00:00,639.8973768
04-01-2022 00:00,658.4647246
05-01-2022 00:00,677.0320725
06-01-2022 00:00,695.5994203
07-01-2022 00:00,714.1667681
08-01-2022 00:00,732.7341159
09-01-2022 00:00,751.3014638
10-01-2022 00:00,769.8688116
11-01-2022 00:00,788.4361594
12-01-2022 00:00,807.0035072
